Package	Version	LibPath
R.oo	1.27.1	/usr/local/lib/R/site-library
R.utils	2.13.0	/usr/local/lib/R/site-library
R6	2.6.1	/usr/local/lib/R/site-library
ragg	1.5.2	/usr/local/lib/R/site-library
RANN	2.6.2	/usr/local/lib/R/site-library
rappdirs	0.3.4	/usr/local/lib/R/site-library
rbibutils	2.4.1	/usr/local/lib/R/site-library
rcmdcheck	1.4.0	/usr/local/lib/R/site-library
RColorBrewer	1.1-3	/usr/local/lib/R/site-library
Rcpp	1.1.1-1.1	/usr/local/lib/R/site-library
RcppAnnoy	0.0.23	/usr/local/lib/R/site-library
RcppArmadillo	15.2.7-1	/usr/local/lib/R/site-library
RcppEigen	0.3.4.0.2	/usr/local/lib/R/site-library
RcppHNSW	0.7.0	/usr/local/lib/R/site-library
RcppML	0.3.7.1	/usr/local/lib/R/site-library
RcppProgress	0.4.2	/usr/local/lib/R/site-library
RcppRoll	0.3.2	/usr/local/lib/R/site-library
RcppTOML	0.2.3	/usr/local/lib/R/site-library
Rdpack	2.6.6	/usr/local/lib/R/site-library
readr	2.2.0	/usr/local/lib/R/site-library
readxl	1.5.0	/usr/local/lib/R/site-library
reformulas	0.4.4	/usr/local/lib/R/site-library
rematch	2.0.0	/usr/local/lib/R/site-library
rematch2	2.1.2	/usr/local/lib/R/site-library
remotes	2.5.0	/usr/local/lib/R/site-library
reprex	2.1.1	/usr/local/lib/R/site-library
reshape2	1.4.5	/usr/local/lib/R/site-library
ResidualMatrix	1.20.0	/usr/local/lib/R/site-library
reticulate	1.46.0	/usr/local/lib/R/site-library
rhdf5	2.54.1	/usr/local/lib/R/site-library
rhdf5filters	1.22.0	/usr/local/lib/R/site-library
Rhdf5lib	1.32.0	/usr/local/lib/R/site-library
RhpcBLASctl	0.23-42	/usr/local/lib/R/site-library
Rhtslib	3.6.0	/usr/local/lib/R/site-library
rjson	0.2.23	/usr/local/lib/R/site-library
rlang	1.2.0	/usr/local/lib/R/site-library
rmarkdown	2.31	/usr/local/lib/R/site-library
ROCR	1.0-12	/usr/local/lib/R/site-library
roxygen2	8.0.0	/usr/local/lib/R/site-library
rpart	4.1.24	/usr/local/lib/R/library
rprojroot	2.1.1	/usr/local/lib/R/site-library
rsample	1.3.2	/usr/local/lib/R/site-library
Rsamtools	2.26.0	/usr/local/lib/R/site-library
RSpectra	0.16-2	/usr/local/lib/R/site-library
RSQLite	3.53.1	/usr/local/lib/R/site-library
rstatix	0.7.3	/usr/local/lib/R/site-library
rstudioapi	0.18.0	/usr/local/lib/R/site-library
rsvd	1.0.5	/usr/local/lib/R/site-library
Rtsne	0.17	/usr/local/lib/R/site-library
rversions	3.0.0	/usr/local/lib/R/site-library
rvest	1.0.5	/usr/local/lib/R/site-library
s2	1.1.11	/usr/local/lib/R/site-library
S4Arrays	1.10.1	/usr/local/lib/R/site-library
S4Vectors	0.48.1	/usr/local/lib/R/site-library
S7	0.2.2	/usr/local/lib/R/site-library
sass	0.4.10	/usr/local/lib/R/site-library
ScaledMatrix	1.18.0	/usr/local/lib/R/site-library
scales	1.4.0	/usr/local/lib/R/site-library
scater	1.38.1	/usr/local/lib/R/site-library
scattermore	1.2	/usr/local/lib/R/site-library
scatterpie	0.2.6	/usr/local/lib/R/site-library
sctransform	0.4.3	/usr/local/lib/R/site-library
scuttle	1.20.0	/usr/local/lib/R/site-library
selectr	0.5-1	/usr/local/lib/R/site-library
Seqinfo	1.0.0	/usr/local/lib/R/site-library
sessioninfo	1.2.3	/usr/local/lib/R/site-library
Seurat	5.5.0	/usr/local/lib/R/site-library
SeuratDisk	0.0.0.9021	/usr/local/lib/R/site-library
SeuratObject	5.4.0	/usr/local/lib/R/site-library
SeuratWrappers	0.4.0	/usr/local/lib/R/site-library
sf	1.1-1	/usr/local/lib/R/site-library
shape	1.4.6.1	/usr/local/lib/R/site-library
shiny	1.13.0	/usr/local/lib/R/site-library
SingleCellExperiment	1.32.0	/usr/local/lib/R/site-library
sitmo	2.0.2	/usr/local/lib/R/site-library
slam	0.1-55	/usr/local/lib/R/site-library
slider	0.3.3	/usr/local/lib/R/site-library
snow	0.4-4	/usr/local/lib/R/site-library
sourcetools	0.1.7-2	/usr/local/lib/R/site-library
sp	2.2-1	/usr/local/lib/R/site-library
spam	2.11-4	/usr/local/lib/R/site-library
SparseArray	1.10.10	/usr/local/lib/R/site-library
SparseM	1.84-2	/usr/local/lib/R/site-library
sparseMatrixStats	1.22.0	/usr/local/lib/R/site-library
spatial	7.3-18	/usr/local/lib/R/library
spatstat.data	3.1-9	/usr/local/lib/R/site-library
spatstat.explore	3.8-1	/usr/local/lib/R/site-library
spatstat.geom	3.8-1	/usr/local/lib/R/site-library
spatstat.random	3.5-0	/usr/local/lib/R/site-library
spatstat.sparse	3.2-0	/usr/local/lib/R/site-library
spatstat.univar	3.2-0	/usr/local/lib/R/site-library
spatstat.utils	3.2-3	/usr/local/lib/R/site-library
spData	2.3.5	/usr/local/lib/R/site-library
spdep	1.4-2	/usr/local/lib/R/site-library
speedglm	0.3-4	/usr/local/lib/R/site-library
splines	4.5.3	/usr/local/lib/R/library
statmod	1.5.2	/usr/local/lib/R/site-library
stats	4.5.3	/usr/local/lib/R/library
stats4	4.5.3	/usr/local/lib/R/library
stringi	1.8.7	/usr/local/lib/R/site-library
stringr	1.6.0	/usr/local/lib/R/site-library
SummarizedExperiment	1.40.0	/usr/local/lib/R/site-library
survival	3.8-6	/usr/local/lib/R/site-library
survival	3.8-6	/usr/local/lib/R/library
svglite	2.2.2	/usr/local/lib/R/site-library
sys	3.4.3	/usr/local/lib/R/site-library
systemfonts	1.3.2	/usr/local/lib/R/site-library
tcltk	4.5.3	/usr/local/lib/R/library
tensor	1.5.1	/usr/local/lib/R/site-library
tester	0.3.0	/usr/local/lib/R/site-library
testthat	3.3.2	/usr/local/lib/R/site-library
textshaping	1.0.5	/usr/local/lib/R/site-library
tibble	3.3.1	/usr/local/lib/R/site-library
tidydr	0.0.6	/usr/local/lib/R/site-library
tidygraph	1.3.1	/usr/local/lib/R/site-library
tidyr	1.3.2	/usr/local/lib/R/site-library
tidyselect	1.2.1	/usr/local/lib/R/site-library
tidytree	0.4.7	/usr/local/lib/R/site-library
tidyverse	2.0.0	/usr/local/lib/R/site-library
timechange	0.4.0	/usr/local/lib/R/site-library
timeDate	4052.112	/usr/local/lib/R/site-library
tinytex	0.59	/usr/local/lib/R/site-library
tools	4.5.3	/usr/local/lib/R/library
treeio	1.34.0	/usr/local/lib/R/site-library
tweenr	2.0.3	/usr/local/lib/R/site-library
tzdb	0.5.0	/usr/local/lib/R/site-library
UCell	2.14.0	/usr/local/lib/R/site-library
UCSC.utils	1.6.1	/usr/local/lib/R/site-library
units	1.0-1	/usr/local/lib/R/site-library
UpSetR	1.4.1	/usr/local/lib/R/site-library
urca	1.3-4	/usr/local/lib/R/site-library
urlchecker	1.0.1	/usr/local/lib/R/site-library
usethis	3.2.1	/usr/local/lib/R/site-library
utf8	1.2.6	/usr/local/lib/R/site-library
utils	4.5.3	/usr/local/lib/R/library
uuid	1.2-2	/usr/local/lib/R/site-library
uwot	0.2.4	/usr/local/lib/R/site-library
vctrs	0.7.3	/usr/local/lib/R/site-library
VennDiagram	1.8.2	/usr/local/lib/R/site-library
vipor	0.4.7	/usr/local/lib/R/site-library
viridis	0.6.5	/usr/local/lib/R/site-library
viridisLite	0.4.3	/usr/local/lib/R/site-library
vroom	1.7.1	/usr/local/lib/R/site-library
waldo	0.6.2	/usr/local/lib/R/site-library
warp	0.2.3	/usr/local/lib/R/site-library
WGCNA	1.74	/usr/local/lib/R/site-library
whisker	0.4.1	/usr/local/lib/R/site-library
withr	3.0.2	/usr/local/lib/R/site-library
wk	0.9.5	/usr/local/lib/R/site-library
WriteXLS	6.8.0	/usr/local/lib/R/site-library
xfun	0.58	/usr/local/lib/R/site-library
xml2	1.5.2	/usr/local/lib/R/site-library
xopen	1.0.1	/usr/local/lib/R/site-library
xtable	1.8-8	/usr/local/lib/R/site-library
XVector	0.50.0	/usr/local/lib/R/site-library
yaml	2.3.12	/usr/local/lib/R/site-library
yulab.utils	0.2.4	/usr/local/lib/R/site-library
zellkonverter	1.20.1	/usr/local/lib/R/site-library
zip	2.3.3	/usr/local/lib/R/site-library
zoo	1.8-15	/usr/local/lib/R/site-library
